# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
bush.txt
bonus.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

#Bush
6	45	155	48	64	61000
6	109	163	79	48	62000

6	168	179	15	15	65000
6	183	179	15	15	65000
6	198	179	15	15	65000

6	690	165	15	15	65000
6	705	165	15	15	65000
6	720	165	15	15	65000
6	735	165	15	15	65000
6	750	165	15	15	65000
6	765	165	15	15	65000

6	840	141	48	64	61000
6	904	149	79	48	62000
6	975	149	61	47	63000

6	1050	165	15	15	65000
6	1065	165	15	15	65000

6	1200	179	15	15	65000
6	1215	179	15	15	65000
6	1230	179	15	15	65000


#CLOUD
7	155	40	48	23	71000

7	400	29	32	23	72000

7	672	40	32	23	72000

7	752	77	41	23	73000
7	786	77	24	23	74000

7	1205	40	32	23	72000

# MARIO
0	20	10

# BRICKS
1	0	195
1	47	195
1	94	195
1	141	195
1	188	195
1	235	195
1	282	195
1	329	195
1	376	195
1	423	195
1	470	195
1	517	195
1	564	195
1	611	195

1	658	181
1	705	181
1	752	181
1	799	181
1	846	181
1	893	181
1	940	181
1	987	181
1	1034	181
1	1081	181

1	1175	195
1	1222	195
1	1269	195
1	1316	195
1	1363	195
1	1410	195
1	1457	195

1	1527	195
1	1574	195
1	1621	195

1	1715	195
1	1762	195
1	1809	195
1	1856	195
1	1903	195
1	1950	195
1	1997	195
1	2044	195
1	2091	195
1	2138	195

1	2205	195
1	2252	195
1	2299	195
1	2346	195
1	2393	195
1	2440	195
1	2487	195
1	2534	195
1	2581	195
1	2628	195
1	2675	195
1	2722	195
1	2769	195
1	2816	195
1	2863	195
1	2910	195
1	2957	195
1	3004	195

#BONUSBLOCK
8	183	140
8	198	140

8	228	90
8	243	90

8	500	105

8	675	166

8	720	140

#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120

#Goomba
2	300	10
